"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"196","DHARMA STRATEGY","VOW3 GY Equity","",2000,"",2015-06-25
"197","DHARMA STRATEGY","SX6PEX GY Equity","",14800,"",2015-06-25
"198","DHARMA STRATEGY","BAS GY Equity","",10900,"",2015-06-25
"199","DHARMA STRATEGY","BAYN GY Equity","",2800,"",2015-06-25
"200","DHARMA STRATEGY","CS FP Equity","",20400,"",2015-06-25
"201","DHARMA STRATEGY","MC FP Equity","",2425,"",2015-06-25
"202","DHARMA STRATEGY","ML FP Equity","",9300,"",2015-06-25
"203","DHARMA STRATEGY","CO FP Equity","",3400,"",2015-06-25
"204","DHARMA STRATEGY","SCR FP Equity","",22000,"",2015-06-25
"205","DHARMA STRATEGY","ADN LN Equity","",150000,"",2015-06-25
"206","DHARMA STRATEGY","BLT LN Equity","",46054,"",2015-06-25
"207","DHARMA STRATEGY","SKY LN Equity","",14550,"",2015-06-25
"208","DHARMA STRATEGY","BA/ LN Equity","",64000,"",2015-06-25
"209","DHARMA STRATEGY","MRW LN Equity","",1e+05,"",2015-06-25
"210","DHARMA STRATEGY","BP/ LN Equity","",87832,"",2015-06-25
"211","DHARMA STRATEGY","BT/A LN Equity","",69500,"",2015-06-25
"212","DHARMA STRATEGY","KGF LN Equity","",55000,"",2015-06-25
"213","DHARMA STRATEGY","SBRY LN Equity","",105000,"",2015-06-25
"214","DHARMA STRATEGY","SMIN LN Equity","",10000,"",2015-06-25
"215","DHARMA STRATEGY","RB/ LN Equity","",4530,"",2015-06-25
"216","DHARMA STRATEGY","ESV US Equity","",8000,"",2015-06-25
"217","DHARMA STRATEGY","STX US Equity","",21100,"",2015-06-25
"218","DHARMA STRATEGY","XSMI SW Equity","",11000,"",2015-06-25
"219","DHARMA STRATEGY","XSDR GY Equity","",5200,"",2015-06-25
"220","DHARMA STRATEGY","PHIA NA Equity","",12000,"",2015-06-25
"221","DHARMA STRATEGY","AIR FP Equity","",7000,"",2015-06-25
"222","DHARMA STRATEGY","LYB US Equity","",4300,"",2015-06-25
"223","DHARMA STRATEGY","AD NA Equity","",34520,"",2015-06-25
"224","DHARMA STRATEGY","ATCOA SS Equity","",14000,"",2015-06-25
"225","DHARMA STRATEGY","ABBV US Equity","",3300,"",2015-06-25
"226","DHARMA STRATEGY","AAPL US Equity","",2402,"",2015-06-25
"227","DHARMA STRATEGY","AMAT US Equity","",20500,"",2015-06-25
"228","DHARMA STRATEGY","BAX US Equity","",11650,"",2015-06-25
"229","DHARMA STRATEGY","BA US Equity","",7100,"",2015-06-25
"230","DHARMA STRATEGY","CA US Equity","",33700,"",2015-06-25
"231","DHARMA STRATEGY","CAT US Equity","",11700,"",2015-06-25
"232","DHARMA STRATEGY","CVX US Equity","",6039,"",2015-06-25
"233","DHARMA STRATEGY","CSCO US Equity","",16000,"",2015-06-25
"234","DHARMA STRATEGY","TPR US Equity","",10800,"",2015-06-25
"235","DHARMA STRATEGY","COP US Equity","",4882,"",2015-06-25
"236","DHARMA STRATEGY","GLW US Equity","",49750,"",2015-06-25
"237","DHARMA STRATEGY","DE US Equity","",8500,"",2015-06-25
"238","DHARMA STRATEGY","DOW US Equity","",7700,"",2015-06-25
"239","DHARMA STRATEGY","EMR US Equity","",3000,"",2015-06-25
"240","DHARMA STRATEGY","INTC US Equity","",31100,"",2015-06-25
"241","DHARMA STRATEGY","JNJ US Equity","",10050,"",2015-06-25
"242","DHARMA STRATEGY","KLAC US Equity","",7900,"",2015-06-25
"243","DHARMA STRATEGY","LMT US Equity","",3800,"",2015-06-25
"244","DHARMA STRATEGY","MRK US Equity","",13750,"",2015-06-25
"245","DHARMA STRATEGY","MSFT US Equity","",22050,"",2015-06-25
"246","DHARMA STRATEGY","NOC US Equity","",1300,"",2015-06-25
"247","DHARMA STRATEGY","OXY US Equity","",3399,"",2015-06-25
"248","DHARMA STRATEGY","PFE US Equity","",10000,"",2015-06-25
"249","DHARMA STRATEGY","QCOM US Equity","",15150,"",2015-06-25
"250","DHARMA STRATEGY","RTN US Equity","",3400,"",2015-06-25
"251","DHARMA STRATEGY","STO US Equity","",43299,"",2015-06-25
"252","DHARMA STRATEGY","SOLB BB Equity","",1850,"",2015-06-26
"253","DHARMA STRATEGY","POT CN Equity","",15450,"",2015-06-26
"254","DHARMA STRATEGY","SYNN SW Equity","",1400,"",2015-06-26
"255","DHARMA STRATEGY","ABBN SW Equity","",21300,"",2015-06-26
"256","DHARMA STRATEGY","NESN SW Equity","",8800,"",2015-06-26
"257","DHARMA STRATEGY","BMW GY Equity","",7400,"",2015-06-26
"258","DHARMA STRATEGY","SIE GY Equity","",6100,"",2015-06-26
"259","DHARMA STRATEGY","VOW3 GY Equity","",2000,"",2015-06-26
"260","DHARMA STRATEGY","SX6PEX GY Equity","",14800,"",2015-06-26
"261","DHARMA STRATEGY","BAS GY Equity","",10900,"",2015-06-26
"262","DHARMA STRATEGY","BAYN GY Equity","",2800,"",2015-06-26
"263","DHARMA STRATEGY","CS FP Equity","",20400,"",2015-06-26
"264","DHARMA STRATEGY","MC FP Equity","",2425,"",2015-06-26
"265","DHARMA STRATEGY","ML FP Equity","",9300,"",2015-06-26
"266","DHARMA STRATEGY","CO FP Equity","",3400,"",2015-06-26
"267","DHARMA STRATEGY","SCR FP Equity","",22000,"",2015-06-26
"268","DHARMA STRATEGY","ADN LN Equity","",150000,"",2015-06-26
"269","DHARMA STRATEGY","BLT LN Equity","",46054,"",2015-06-26
"270","DHARMA STRATEGY","SKY LN Equity","",14550,"",2015-06-26
"271","DHARMA STRATEGY","BA/ LN Equity","",64000,"",2015-06-26
"272","DHARMA STRATEGY","MRW LN Equity","",1e+05,"",2015-06-26
"273","DHARMA STRATEGY","BP/ LN Equity","",87832,"",2015-06-26
"274","DHARMA STRATEGY","BT/A LN Equity","",69500,"",2015-06-26
"275","DHARMA STRATEGY","KGF LN Equity","",55000,"",2015-06-26
"276","DHARMA STRATEGY","SBRY LN Equity","",105000,"",2015-06-26
"277","DHARMA STRATEGY","SMIN LN Equity","",10000,"",2015-06-26
"278","DHARMA STRATEGY","RB/ LN Equity","",4530,"",2015-06-26
"279","DHARMA STRATEGY","ESV US Equity","",8000,"",2015-06-26
"280","DHARMA STRATEGY","STX US Equity","",21100,"",2015-06-26
"281","DHARMA STRATEGY","XSMI SW Equity","",11000,"",2015-06-26
