"","Portfolio Name","Security ID","Type","Quantity","Price","Date"
"15066","DHARMA EQ","AMAT US Equity","",30700,"",2016-06-03
"15067","DHARMA EQ","BAX US Equity","",12000,"",2016-06-03
"15068","DHARMA EQ","BA US Equity","",4550,"",2016-06-03
"15069","DHARMA EQ","CA US Equity","",15700,"",2016-06-03
"15070","DHARMA EQ","CAT US Equity","",3850,"",2016-06-03
"15071","DHARMA EQ","CVX US Equity","",3839,"",2016-06-03
"15072","DHARMA EQ","CSCO US Equity","",16000,"",2016-06-03
"15073","DHARMA EQ","TPR US Equity","",21600,"",2016-06-03
"15074","DHARMA EQ","GLW US Equity","",37500,"",2016-06-03
"15075","DHARMA EQ","DE US Equity","",8500,"",2016-06-03
"15076","DHARMA EQ","DOW US Equity","",11583,"",2016-06-03
"15077","DHARMA EQ","EMR US Equity","",8000,"",2016-06-03
"15078","DHARMA EQ","INTC US Equity","",16000,"",2016-06-03
"15079","DHARMA EQ","JNJ US Equity","",7000,"",2016-06-03
"15080","DHARMA EQ","KLAC US Equity","",4000,"",2016-06-03
"15081","DHARMA EQ","LRCX US Equity","",5500,"",2016-06-03
"15082","DHARMA EQ","LLY US Equity","",4300,"",2016-06-03
"15083","DHARMA EQ","MRK US Equity","",13750,"",2016-06-03
"15084","DHARMA EQ","MSFT US Equity","",12450,"",2016-06-03
"15085","DHARMA EQ","PCAR US Equity","",10600,"",2016-06-03
"15086","DHARMA EQ","PFE US Equity","",15000,"",2016-06-03
"15087","DHARMA EQ","QCOM US Equity","",7650,"",2016-06-03
"15088","DHARMA EQ","UTX US Equity","",4000,"",2016-06-03
"15089","DHARMA EQ","KORS US Equity","",10000,"",2016-06-03
"15090","DHARMA EQ","SLB US Equity","",7600,"",2016-06-06
"15091","DHARMA EQ","POT CN Equity","",15450,"",2016-06-06
"15092","DHARMA EQ","NOVN SW Equity","",5700,"",2016-06-06
"15093","DHARMA EQ","ROG SW Equity","",2600,"",2016-06-06
"15094","DHARMA EQ","ADEN SW Equity","",11950,"",2016-06-06
"15095","DHARMA EQ","ABBN SW Equity","",12600,"",2016-06-06
"15096","DHARMA EQ","NESN SW Equity","",8800,"",2016-06-06
"15097","DHARMA EQ","SYNN SW Equity","",2100,"",2016-06-06
"15098","DHARMA EQ","BMW GY Equity","",11100,"",2016-06-06
"15099","DHARMA EQ","SIE GY Equity","",5300,"",2016-06-06
"15100","DHARMA EQ","VOW3 GY Equity","",2000,"",2016-06-06
"15101","DHARMA EQ","SX6PEX GY Equity","",14800,"",2016-06-06
"15102","DHARMA EQ","BAS GY Equity","",6500,"",2016-06-06
"15103","DHARMA EQ","BAYN GY Equity","",8500,"",2016-06-06
"15104","DHARMA EQ","ESM16 Index","",25,"",2016-06-06
"15105","DHARMA EQ","CS FP Equity","",30400,"",2016-06-06
"15106","DHARMA EQ","MC FP Equity","",5200,"",2016-06-06
"15107","DHARMA EQ","ML FP Equity","",11200,"",2016-06-06
"15108","DHARMA EQ","SU FP Equity","",3000,"",2016-06-06
