"","PortfolioName","SecurityId","Quantity","Price","Date","Cost"
"204","DEQ","MSFT US Equity",22050,0,2015-06-22,NA
"205","DEQ","NOC US Equity",1300,0,2015-06-22,NA
"206","DEQ","OXY US Equity",3399,0,2015-06-22,NA
"207","DEQ","PFE US Equity",10000,0,2015-06-22,NA
"208","DEQ","QCOM US Equity",15150,0,2015-06-22,NA
"209","DEQ","RTN US Equity",3400,0,2015-06-22,NA
"210","DEQ","STO US Equity",43299,0,2015-06-22,NA
"211","DEQ",".TFCFEES FP Equity",-1,8951.56,2015-06-22,NA
"212","DEQ","CAD Curncy",0,0,2015-06-22,NA
"213","DEQ","CHF Curncy",0,0,2015-06-22,NA
"214","DEQ","DKK Curncy",0,0,2015-06-22,NA
"215","DEQ","EUR Curncy",143761.45,0,2015-06-22,NA
"216","DEQ","GBP Curncy",-2727.32000000001,0,2015-06-22,NA
"217","DEQ","SEK Curncy",0,0,2015-06-22,NA
"218","DEQ","USD Curncy",1674181.88,0,2015-06-22,NA
"219","DEQ",".TAX_CHF LX Equity",-1,0,2015-06-22,NA
"220","DEQ",".TAX_EUR LX Equity",-1,0,2015-06-22,NA
"221","DEQ",".TAX_USD LX Equity",-1,0,2015-06-22,NA
"222","DEQ","SOLB BB Equity",1850,0,2015-06-25,NA
"223","DEQ","POT CN Equity",15450,0,2015-06-25,NA
"224","DEQ","SYNN SW Equity",1400,0,2015-06-25,NA
"225","DEQ","ABBN SW Equity",21300,0,2015-06-25,NA
"226","DEQ","NESN SW Equity",8800,0,2015-06-25,NA
"227","DEQ","BMW GY Equity",7400,0,2015-06-25,NA
"228","DEQ","SIE GY Equity",6100,0,2015-06-25,NA
"229","DEQ","VOW3 GY Equity",2000,0,2015-06-25,NA
"230","DEQ","SX6PEX GY Equity",14800,0,2015-06-25,NA
"231","DEQ","BAS GY Equity",10900,0,2015-06-25,NA
"232","DEQ","BAYN GY Equity",2800,0,2015-06-25,NA
"233","DEQ","CS FP Equity",20400,0,2015-06-25,NA
"234","DEQ","MC FP Equity",2425,0,2015-06-25,NA
"235","DEQ","ML FP Equity",9300,0,2015-06-25,NA
"236","DEQ","CO FP Equity",3400,0,2015-06-25,NA
"237","DEQ","SCR FP Equity",22000,0,2015-06-25,NA
"238","DEQ","ADN LN Equity",150000,0,2015-06-25,NA
"239","DEQ","BLT LN Equity",46054,0,2015-06-25,NA
"240","DEQ","SKY LN Equity",14550,0,2015-06-25,NA
"241","DEQ","BA/ LN Equity",64000,0,2015-06-25,NA
"242","DEQ","MRW LN Equity",1e+05,0,2015-06-25,NA
"243","DEQ","BP/ LN Equity",87832,0,2015-06-25,NA
"244","DEQ","BT/A LN Equity",69500,0,2015-06-25,NA
"245","DEQ","KGF LN Equity",55000,0,2015-06-25,NA
"246","DEQ","SBRY LN Equity",105000,0,2015-06-25,NA
"247","DEQ","SMIN LN Equity",10000,0,2015-06-25,NA
"248","DEQ","RB/ LN Equity",4530,0,2015-06-25,NA
"249","DEQ","ESV US Equity",8000,0,2015-06-25,NA
"250","DEQ","STX US Equity",21100,0,2015-06-25,NA
"251","DEQ","XSMI SW Equity",11000,0,2015-06-25,NA
"252","DEQ","XSDR GY Equity",5200,0,2015-06-25,NA
"253","DEQ","PHIA NA Equity",12000,0,2015-06-25,NA
"254","DEQ","AIR FP Equity",7000,0,2015-06-25,NA
"255","DEQ","LYB US Equity",4300,0,2015-06-25,NA
"256","DEQ","AD NA Equity",34520,0,2015-06-25,NA
"257","DEQ","ATCOA SS Equity",14000,0,2015-06-25,NA
"258","DEQ","ABBV US Equity",3300,0,2015-06-25,NA
"259","DEQ","AAPL US Equity",2402,0,2015-06-25,NA
"260","DEQ","AMAT US Equity",20500,0,2015-06-25,NA
"261","DEQ","BAX US Equity",11650,0,2015-06-25,NA
"262","DEQ","BA US Equity",7100,0,2015-06-25,NA
"263","DEQ","CA US Equity",33700,0,2015-06-25,NA
"264","DEQ","CAT US Equity",11700,0,2015-06-25,NA
"265","DEQ","CVX US Equity",6039,0,2015-06-25,NA
"266","DEQ","CSCO US Equity",16000,0,2015-06-25,NA
"267","DEQ","TPR US Equity",10800,0,2015-06-25,NA
"268","DEQ","COP US Equity",4882,0,2015-06-25,NA
"269","DEQ","GLW US Equity",49750,0,2015-06-25,NA
"270","DEQ","DE US Equity",8500,0,2015-06-25,NA
"271","DEQ","DOW US Equity",7700,0,2015-06-25,NA
"272","DEQ","EMR US Equity",3000,0,2015-06-25,NA
"273","DEQ","INTC US Equity",31100,0,2015-06-25,NA
"274","DEQ","JNJ US Equity",10050,0,2015-06-25,NA
"275","DEQ","KLAC US Equity",7900,0,2015-06-25,NA
"276","DEQ","LMT US Equity",3800,0,2015-06-25,NA
"277","DEQ","MRK US Equity",13750,0,2015-06-25,NA
"278","DEQ","MSFT US Equity",22050,0,2015-06-25,NA
"279","DEQ","NOC US Equity",1300,0,2015-06-25,NA
"280","DEQ","OXY US Equity",3399,0,2015-06-25,NA
"281","DEQ","PFE US Equity",10000,0,2015-06-25,NA
"282","DEQ","QCOM US Equity",15150,0,2015-06-25,NA
"283","DEQ","RTN US Equity",3400,0,2015-06-25,NA
"284","DEQ","STO US Equity",43299,0,2015-06-25,NA
"285","DEQ",".TFCFEES FP Equity",-1,14382.48,2015-06-25,NA
"286","DEQ","CAD Curncy",0,0,2015-06-25,NA
"287","DEQ","CHF Curncy",0,0,2015-06-25,NA
"288","DEQ","DKK Curncy",0,0,2015-06-25,NA
"289","DEQ","EUR Curncy",143761.45,0,2015-06-25,NA
"290","DEQ","GBP Curncy",-2727.79,0,2015-06-25,NA
"291","DEQ","SEK Curncy",0,0,2015-06-25,NA
"292","DEQ","USD Curncy",1674181.88,0,2015-06-25,NA
"293","DEQ",".TAX_CHF LX Equity",-1,0,2015-06-25,NA
"294","DEQ",".TAX_EUR LX Equity",-1,0,2015-06-25,NA
"295","DEQ",".TAX_USD LX Equity",-1,0,2015-06-25,NA
"296","DEQ","SOLB BB Equity",1850,0,2015-06-26,NA
"297","DEQ","POT CN Equity",15450,0,2015-06-26,NA
"298","DEQ","SYNN SW Equity",1400,0,2015-06-26,NA
"299","DEQ","ABBN SW Equity",21300,0,2015-06-26,NA
"300","DEQ","NESN SW Equity",8800,0,2015-06-26,NA
"301","DEQ","BMW GY Equity",7400,0,2015-06-26,NA
"302","DEQ","SIE GY Equity",6100,0,2015-06-26,NA
"303","DEQ","VOW3 GY Equity",2000,0,2015-06-26,NA
"304","DEQ","SX6PEX GY Equity",14800,0,2015-06-26,NA
"305","DEQ","BAS GY Equity",10900,0,2015-06-26,NA
"306","DEQ","BAYN GY Equity",2800,0,2015-06-26,NA
"307","DEQ","CS FP Equity",20400,0,2015-06-26,NA
"308","DEQ","MC FP Equity",2425,0,2015-06-26,NA
"309","DEQ","ML FP Equity",9300,0,2015-06-26,NA
"310","DEQ","CO FP Equity",3400,0,2015-06-26,NA
"311","DEQ","SCR FP Equity",22000,0,2015-06-26,NA
"312","DEQ","ADN LN Equity",150000,0,2015-06-26,NA
"313","DEQ","BLT LN Equity",46054,0,2015-06-26,NA
"314","DEQ","SKY LN Equity",14550,0,2015-06-26,NA
