"","PortfolioName","SecurityId","Quantity","Price","Date"
"166","DHARMA EQ","MRW LN Equity",1e+05,0,2015-06-22
"167","DHARMA EQ","BP/ LN Equity",87832,0,2015-06-22
"168","DHARMA EQ","BT/A LN Equity",69500,0,2015-06-22
"169","DHARMA EQ","KGF LN Equity",55000,0,2015-06-22
"170","DHARMA EQ","SBRY LN Equity",105000,0,2015-06-22
"171","DHARMA EQ","SMIN LN Equity",10000,0,2015-06-22
"172","DHARMA EQ","RB/ LN Equity",4530,0,2015-06-22
"173","DHARMA EQ","ESV US Equity",8000,0,2015-06-22
"174","DHARMA EQ","STX US Equity",21100,0,2015-06-22
"175","DHARMA EQ","XSMI SW Equity",11000,0,2015-06-22
"176","DHARMA EQ","XSDR GY Equity",5200,0,2015-06-22
"177","DHARMA EQ","PHIA NA Equity",12000,0,2015-06-22
"178","DHARMA EQ","AIR FP Equity",7000,0,2015-06-22
"179","DHARMA EQ","LYB US Equity",4300,0,2015-06-22
"180","DHARMA EQ","AD NA Equity",34520,0,2015-06-22
"181","DHARMA EQ","ATCOA SS Equity",14000,0,2015-06-22
"182","DHARMA EQ","ABBV US Equity",3300,0,2015-06-22
"183","DHARMA EQ","AAPL US Equity",2402,0,2015-06-22
"184","DHARMA EQ","AMAT US Equity",20500,0,2015-06-22
"185","DHARMA EQ","BAX US Equity",11650,0,2015-06-22
"186","DHARMA EQ","BA US Equity",7100,0,2015-06-22
"187","DHARMA EQ","CA US Equity",33700,0,2015-06-22
"188","DHARMA EQ","CAT US Equity",11700,0,2015-06-22
"189","DHARMA EQ","CVX US Equity",6039,0,2015-06-22
"190","DHARMA EQ","CSCO US Equity",16000,0,2015-06-22
"191","DHARMA EQ","TPR US Equity",10800,0,2015-06-22
"192","DHARMA EQ","COP US Equity",4882,0,2015-06-22
"193","DHARMA EQ","GLW US Equity",49750,0,2015-06-22
"194","DHARMA EQ","DE US Equity",8500,0,2015-06-22
"195","DHARMA EQ","DOW US Equity",7700,0,2015-06-22
"196","DHARMA EQ","EMR US Equity",3000,0,2015-06-22
"197","DHARMA EQ","INTC US Equity",31100,0,2015-06-22
"198","DHARMA EQ","JNJ US Equity",10050,0,2015-06-22
"199","DHARMA EQ","KLAC US Equity",7900,0,2015-06-22
"200","DHARMA EQ","LMT US Equity",3800,0,2015-06-22
"201","DHARMA EQ","MRK US Equity",13750,0,2015-06-22
"202","DHARMA EQ","MSFT US Equity",22050,0,2015-06-22
"203","DHARMA EQ","NOC US Equity",1300,0,2015-06-22
"204","DHARMA EQ","OXY US Equity",3399,0,2015-06-22
"205","DHARMA EQ","PFE US Equity",10000,0,2015-06-22
"206","DHARMA EQ","QCOM US Equity",15150,0,2015-06-22
"207","DHARMA EQ","RTN US Equity",3400,0,2015-06-22
"208","DHARMA EQ","STO US Equity",43299,0,2015-06-22
