"","Portfolio Name","Security Ticker","Price","Date","Shares"
"78","DHARMA STRATEGY",".TFCFEES Equity",187916.7,2015-10-09,-1
"79","DHARMA STRATEGY",".TFCFEES Equity",192479.51,2015-10-12,-1
"80","DHARMA STRATEGY",".TFCFEES Equity",193963.33,2015-10-13,-1
"81","DHARMA STRATEGY",".TFCFEES Equity",195447.35,2015-10-14,-1
"82","DHARMA STRATEGY",".TFCFEES Equity",196955.6,2015-10-15,-1
"83","DHARMA STRATEGY",".TFCFEES Equity",198501.19,2015-10-16,-1
"84","DHARMA STRATEGY",".TFCFEES Equity",203002.8,2015-10-19,-1
"85","DHARMA STRATEGY",".TFCFEES Equity",204491.22,2015-10-20,-1
"86","DHARMA STRATEGY",".TFCFEES Equity",205985.52,2015-10-21,-1
"87","DHARMA STRATEGY",".TFCFEES Equity",207561.37,2015-10-22,-1
"88","DHARMA STRATEGY",".TFCFEES Equity",209176.57,2015-10-23,-1
"89","DHARMA STRATEGY",".TFCFEES Equity",213789.99,2015-10-26,-1
"90","DHARMA STRATEGY",".TFCFEES Equity",215354.83,2015-10-27,-1
"91","DHARMA STRATEGY",".TFCFEES Equity",216961.41,2015-10-28,-1
"92","DHARMA STRATEGY",".TFCFEES Equity",218562.55,2015-10-29,-1
"93","DHARMA STRATEGY",".TFCFEES Equity",220152.34,2015-10-30,-1
"94","DHARMA STRATEGY",".TFCFEES Equity",225526.77,2015-11-02,-1
"95","DHARMA STRATEGY",".TFCFEES Equity",227151.24,2015-11-03,-1
"96","DHARMA STRATEGY",".TFCFEES Equity",228773.89,2015-11-04,-1
"97","DHARMA STRATEGY",".TFCFEES Equity",230362.32,2015-11-05,-1
"98","DHARMA STRATEGY",".TFCFEES Equity",231987.62,2015-11-06,-1
"99","DHARMA STRATEGY",".TFCFEES Equity",236750.92,2015-11-09,-1
"100","DHARMA STRATEGY",".TFCFEES Equity",238438.9,2015-11-10,-1
"101","DHARMA STRATEGY",".TFCFEES Equity",241603.62,2015-11-12,-1
"102","DHARMA STRATEGY",".TFCFEES Equity",243173.23,2015-11-13,-1
"103","DHARMA STRATEGY",".TFCFEES Equity",248002.73,2015-11-16,-1
"104","DHARMA STRATEGY",".TFCFEES Equity",249669.58,2015-11-17,-1
"105","DHARMA STRATEGY",".TFCFEES Equity",251349.22,2015-11-18,-1
"106","DHARMA STRATEGY",".TFCFEES Equity",252988.18,2015-11-19,-1
"107","DHARMA STRATEGY",".TFCFEES Equity",254658.84,2015-11-20,-1
"108","DHARMA STRATEGY",".TFCFEES Equity",259541.28,2015-11-23,-1
"109","DHARMA STRATEGY",".TFCFEES Equity",261179.46,2015-11-24,-1
"110","DHARMA STRATEGY",".TFCFEES Equity",262927.92,2015-11-25,-1
"111","DHARMA STRATEGY",".TFCFEES Equity",264602.01,2015-11-26,-1
"112","DHARMA STRATEGY",".TFCFEES Equity",266255.45,2015-11-27,-1
"113","DHARMA STRATEGY",".TFCFEES Equity",271180.57,2015-11-30,-1
"114","DHARMA STRATEGY",".TFCFEES Equity",273220.42,2015-12-01,-1
"115","DHARMA STRATEGY",".TFCFEES Equity",274850.89,2015-12-02,-1
"116","DHARMA STRATEGY",".TFCFEES Equity",276340.59,2015-12-03,-1
"117","DHARMA STRATEGY",".TFCFEES Equity",277954.39,2015-12-04,-1
"118","DHARMA STRATEGY",".TFCFEES Equity",282778.71,2015-12-07,-1
"119","DHARMA STRATEGY",".TFCFEES Equity",284298.07,2015-12-08,-1
"120","DHARMA STRATEGY",".TFCFEES Equity",287205.55,2015-12-09,-1
"121","DHARMA STRATEGY",".TFCFEES Equity",288773.08,2015-12-10,-1
"122","DHARMA STRATEGY",".TFCFEES Equity",290243.05,2015-12-11,-1
"123","DHARMA STRATEGY",".TFCFEES Equity",294898.21,2015-12-14,-1
"124","DHARMA STRATEGY",".TFCFEES Equity",296522.46,2015-12-15,-1
"125","DHARMA STRATEGY",".TFCFEES Equity",298139.38,2015-12-16,-1
"126","DHARMA STRATEGY",".TFCFEES Equity",300577.34,2015-12-17,-1
"127","DHARMA STRATEGY",".TFCFEES Equity",301279.18,2015-12-18,-1
"128","DHARMA STRATEGY",".TFCFEES Equity",305966.37,2015-12-21,-1
"129","DHARMA STRATEGY",".TFCFEES Equity",307645.96,2015-12-22,-1
"130","DHARMA STRATEGY",".TFCFEES Equity",309325.2,2015-12-23,-1
"131","DHARMA STRATEGY",".TFCFEES Equity",317173.98,2015-12-28,-1
"132","DHARMA STRATEGY",".TFCFEES Equity",318835.89,2015-12-29,-1
"133","DHARMA STRATEGY",".TFCFEES Equity",320402.99,2015-12-30,-1
"134","DHARMA STRATEGY",".TFCFEES Equity",321817.51,2015-12-31,-1
"135","DHARMA STRATEGY",".TFCFEES Equity",329160.73,2016-01-04,-1
"136","DHARMA STRATEGY",".TFCFEES Equity",330684.13,2016-01-05,-1
"137","DHARMA STRATEGY",".TFCFEES Equity",332152.16,2016-01-06,-1
"138","DHARMA STRATEGY",".TFCFEES Equity",333568.24,2016-01-07,-1
"139","DHARMA STRATEGY",".TFCFEES Equity",334955.92,2016-01-08,-1
"140","DHARMA STRATEGY",".TFCFEES Equity",339297.95,2016-01-11,-1
"141","DHARMA STRATEGY",".TFCFEES Equity",340719.34,2016-01-12,-1
"142","DHARMA STRATEGY",".TFCFEES Equity",342405.31,2016-01-13,-1
"143","DHARMA STRATEGY",".TFCFEES Equity",343891.03,2016-01-14,-1
"144","DHARMA STRATEGY",".TFCFEES Equity",345218.79,2016-01-15,-1
"145","DHARMA STRATEGY",".TFCFEES Equity",349548.79,2016-01-18,-1
"146","DHARMA STRATEGY",".TFCFEES Equity",350940.61,2016-01-19,-1
"147","DHARMA STRATEGY",".TFCFEES Equity",352289.36,2016-01-20,-1
