"","Portfolio Name","Security Ticker","Price","Date","Shares"
"81","DHARMA_TFC",".TFCFEES Equity",193472.09,2015-10-14,-1
"82","DHARMA_TFC",".TFCFEES Equity",194980.34,2015-10-15,-1
"83","DHARMA_TFC",".TFCFEES Equity",196525.93,2015-10-16,-1
"84","DHARMA_TFC",".TFCFEES Equity",201027.54,2015-10-19,-1
"85","DHARMA_TFC",".TFCFEES Equity",202515.96,2015-10-20,-1
"86","DHARMA_TFC",".TFCFEES Equity",204010.26,2015-10-21,-1
"87","DHARMA_TFC",".TFCFEES Equity",205586.11,2015-10-22,-1
"88","DHARMA_TFC",".TFCFEES Equity",207201.31,2015-10-23,-1
"89","DHARMA_TFC",".TFCFEES Equity",211814.73,2015-10-26,-1
"90","DHARMA_TFC",".TFCFEES Equity",213379.57,2015-10-27,-1
"91","DHARMA_TFC",".TFCFEES Equity",214986.15,2015-10-28,-1
"92","DHARMA_TFC",".TFCFEES Equity",216587.29,2015-10-29,-1
"93","DHARMA_TFC",".TFCFEES Equity",218177.08,2015-10-30,-1
"94","DHARMA_TFC",".TFCFEES Equity",223531.15,2015-11-02,-1
"95","DHARMA_TFC",".TFCFEES Equity",225155.62,2015-11-03,-1
"96","DHARMA_TFC",".TFCFEES Equity",226778.27,2015-11-04,-1
"97","DHARMA_TFC",".TFCFEES Equity",228366.7,2015-11-05,-1
"98","DHARMA_TFC",".TFCFEES Equity",229992,2015-11-06,-1
"99","DHARMA_TFC",".TFCFEES Equity",234755.3,2015-11-09,-1
"100","DHARMA_TFC",".TFCFEES Equity",236443.28,2015-11-10,-1
"101","DHARMA_TFC",".TFCFEES Equity",239608,2015-11-12,-1
"102","DHARMA_TFC",".TFCFEES Equity",241177.61,2015-11-13,-1
"103","DHARMA_TFC",".TFCFEES Equity",246007.11,2015-11-16,-1
"104","DHARMA_TFC",".TFCFEES Equity",247673.96,2015-11-17,-1
"105","DHARMA_TFC",".TFCFEES Equity",249353.6,2015-11-18,-1
"106","DHARMA_TFC",".TFCFEES Equity",250992.56,2015-11-19,-1
"107","DHARMA_TFC",".TFCFEES Equity",252663.22,2015-11-20,-1
"108","DHARMA_TFC",".TFCFEES Equity",257545.66,2015-11-23,-1
"109","DHARMA_TFC",".TFCFEES Equity",259183.84,2015-11-24,-1
"110","DHARMA_TFC",".TFCFEES Equity",260932.3,2015-11-25,-1
"111","DHARMA_TFC",".TFCFEES Equity",262606.39,2015-11-26,-1
"112","DHARMA_TFC",".TFCFEES Equity",264259.83,2015-11-27,-1
"113","DHARMA_TFC",".TFCFEES Equity",269184.95,2015-11-30,-1
"114","DHARMA_TFC",".TFCFEES Equity",270832.25,2015-12-01,-1
"115","DHARMA_TFC",".TFCFEES Equity",272462.72,2015-12-02,-1
"116","DHARMA_TFC",".TFCFEES Equity",273952.42,2015-12-03,-1
"117","DHARMA_TFC",".TFCFEES Equity",275566.22,2015-12-04,-1
"118","DHARMA_TFC",".TFCFEES Equity",280390.54,2015-12-07,-1
"119","DHARMA_TFC",".TFCFEES Equity",281909.9,2015-12-08,-1
"120","DHARMA_TFC",".TFCFEES Equity",284817.38,2015-12-09,-1
"121","DHARMA_TFC",".TFCFEES Equity",286384.91,2015-12-10,-1
"122","DHARMA_TFC",".TFCFEES Equity",287854.88,2015-12-11,-1
"123","DHARMA_TFC",".TFCFEES Equity",292510.04,2015-12-14,-1
"124","DHARMA_TFC",".TFCFEES Equity",294134.29,2015-12-15,-1
"125","DHARMA_TFC",".TFCFEES Equity",295751.21,2015-12-16,-1
"126","DHARMA_TFC",".TFCFEES Equity",298189.17,2015-12-17,-1
