"","Date","NAV"
"71",2015-09-30,29239737
"72",2015-10-01,29038426.11
"73",2015-10-02,29326067.84
"74",2015-10-05,30221115.21
"75",2015-10-06,30229679.09
"76",2015-10-07,30658120.77
"77",2015-10-08,30875155.26
"78",2015-10-09,30819223.85
"79",2015-10-12,30694321.07
"80",2015-10-13,29969262.7
"81",2015-10-14,29814680.01
"82",2015-10-15,30079448.46
"83",2015-10-16,30606958.64
"84",2015-10-19,29969225.95
"85",2015-10-20,29877170.25
"86",2015-10-21,29904909.24
"87",2015-10-22,30836679.52
"88",2015-10-23,31586480.77
"89",2015-10-26,31393291.25
"90",2015-10-27,31206771.76
"91",2015-10-28,31583658.03
"92",2015-10-29,31687372.64
"93",2015-10-30,31626414.4
"94",2015-11-02,31947991.37
"95",2015-11-03,32255406.71
"96",2015-11-04,32411017.44
"97",2015-11-05,32159796.58
"98",2015-11-06,32410545.43
"99",2015-11-09,31886046.79
"100",2015-11-10,32786481.52
"101",2015-11-12,32097510.82
"102",2015-11-13,31872938.17
"103",2015-11-16,32190033.56
"104",2015-11-17,32690627.85
"105",2015-11-18,32888701.08
"106",2015-11-19,32830672.45
"107",2015-11-20,33060194.05
"108",2015-11-23,33024554.81
"109",2015-11-24,32909836.52
"110",2015-11-25,33202354.22
"111",2015-11-26,33289117.67
"112",2015-11-27,33199079.51
"113",2015-11-30,33315738.1
"114",2015-12-01,33274112.13
"115",2015-12-02,33125172.43
"116",2015-12-03,31927062.92
"117",2015-12-04,32104718.57
"118",2015-12-07,32079850.71
"119",2015-12-08,31602898.05
"120",2015-12-09,31379587.05
"121",2015-12-10,31442608.23
"122",2015-12-11,30809083.13
"123",2015-12-14,30499028.59
"124",2015-12-15,31229708.37
"125",2015-12-16,31460409
"126",2015-12-17,31483626.32
"127",2015-12-18,31119067.62
"128",2015-12-21,30994239.11
"129",2015-12-22,31163396.36
"130",2015-12-23,31914671.45
"131",2015-12-28,31531702.2
"132",2015-12-29,32017089.4
"133",2015-12-30,31818367.08
"134",2015-12-31,31670948.73
"135",2016-01-04,31222859.5
